nodeId:ID,:LABEL,citation_raw,inferred_type,court,authority_weight:float,case_number,origin_state,adjudicating_body,rapporteur,decision_date,cited_ementa
EXT_RMS_064518_,ExternalCitation,"RMS 064518,",Case,STJ,1.0,,,,,,
EXT_RMS_064516_,ExternalCitation,"RMS 064516,",Case,STJ,1.0,,,,,,
EXT_RMS_65286_,ExternalCitation,"RMS 65286,",Case,STJ,1.0,,,,,,
EXT_RMS_64625_,ExternalCitation,"RMS 64625,",Case,STJ,1.0,,,,,,
EXT_RMS_64525_,ExternalCitation,"RMS 64525,",Case,STJ,1.0,,,,,,
EXT_RMS_64531_,ExternalCitation,"RMS 64531,",Case,STJ,1.0,,,,,,
EXT_TEMA_1,ExternalCitation,TEMA 1,RepetitiveTopic,STJ,1.0,,,,,,
EXT_TEMA_1058,ExternalCitation,Tema 1058,RepetitiveTopic,STJ,1.0,,,,,,
EXT_ART__93_DO_CODIGO_DE_DEFESA_DO_CONSUMIDOR,ExternalCitation,ART. 93 DO CÓDIGO DE DEFESA DO CONSUMIDOR,Unknown,,1.0,,,,,,
EXT_RESP_1_273_643_PR,ExternalCitation,REsp 1.273.643/PR,Case,STJ,0.3869,,,,,,
EXT_RESP_651_037_PR,ExternalCitation,REsp 651.037/PR,Case,STJ,0.3869,,,,,,
EXT_RESP_1_243_887_PR,ExternalCitation,REsp 1.243.887/PR,Case,STJ,0.3869,,,,,,
EXT_RESP_1_391_198_RS,ExternalCitation,REsp 1.391.198/RS,Case,STJ,0.3869,,,,,,
EXT_RESP_1_481_089_SP,ExternalCitation,REsp 1.481.089/SP,Case,STJ,0.3869,,,,,,
EXT_RESP_1_186_714_GO,ExternalCitation,REsp 1.186.714/GO,Case,STJ,0.3869,,,,,,
EXT_RESP_1_185_323_RS,ExternalCitation,REsp 1.185.323/RS,Case,STJ,0.3869,,,,,,
EXT_ARESP_975_547_PR,ExternalCitation,AREsp 975.547/PR,Case,STJ,0.3869,,,,,,
EXT_RESP_1_515_895_MS,ExternalCitation,REsp 1.515.895/MS,Case,STJ,0.3869,,,,,,
EXT_RESP_1_280_311_SP,ExternalCitation,REsp 1.280.311/SP,Case,STJ,0.3869,,,,,,
EXT_RESP_1_405_697_MG,ExternalCitation,REsp 1.405.697/MG,Case,STJ,0.3869,,,,,,
EXT_ARESP_1_481_158_RJ,ExternalCitation,AREsp 1.481.158/RJ,Case,STJ,0.3869,,,,,,
EXT_RESP_1_719_820_MG,ExternalCitation,REsp 1.719.820/MG,Case,STJ,0.3869,,,,,,
EXT_RESP_1_891_572_GO,ExternalCitation,REsp 1.891.572/GO,Case,STJ,0.3869,,,,,,
EXT_RESP_1_312_462_RJ,ExternalCitation,REsp 1.312.462/RJ,Case,STJ,0.3869,,,,,,
EXT_ARESP_636_237_SP,ExternalCitation,AREsp 636.237/SP,Case,STJ,0.3869,,,,,,
EXT_RESP_1_392_245_DF,ExternalCitation,REsp 1.392.245/DF,Case,STJ,0.3869,,,,,,
EXT_RESP_1_372_688_SP,ExternalCitation,REsp 1.372.688/SP,Case,STJ,0.3869,,,,,,
EXT_TEMA_948,ExternalCitation,Tema 948,RepetitiveTopic,STJ,0.3869,,,,,,
EXT_TEMA_499,ExternalCitation,tema 499,RepetitiveTopic,STJ,0.3869,,,,,,
EXT_TEMA_82,ExternalCitation,Tema 82,RepetitiveTopic,STJ,0.3869,,,,,,
EXT_ADPF_165,ExternalCitation,ADPF 165,ConstitutionalControl,STF,0.3869,,,,,,
EXT_ART__91_DO_CDC,ExternalCitation,art. 91 do CDC,Unknown,,0.3869,,,,,,
EXT_ART__81_DO_CDC,ExternalCitation,art. 81 do CDC,Unknown,,0.3869,,,,,,
EXT_ART__82_DO_CDC,ExternalCitation,art. 82 do CDC,Unknown,,0.3869,,,,,,
EXT_ART__82_DO_CODIGO_DE_DEFESA_DO_CONSUMIDOR,ExternalCitation,art. 82 do Código de Defesa do Consumidor,Unknown,,0.3869,,,,,,
EXT_ART__103_DO_CDC,ExternalCitation,art. 103 do CDC,Unknown,,0.3869,,,,,,
EXT_ART__97_DO_CODIGO_DE_DEFESA_DO_CONSUMIDOR,ExternalCitation,art. 97 do Código de Defesa do Consumidor,Unknown,,0.3869,,,,,,
EXT_RESP_1_548_189_SP,ExternalCitation,REsp 1.548.189/SP,Case,STJ,0.3869,,,,,,
EXT_RESP_1_614721_DF,ExternalCitation,REsp 1.614721/DF,Case,STJ,0.3869,,,,,,
EXT_ART__51_DO_CDC,ExternalCitation,art. 51 do CDC,Unknown,,0.3869,,,,,,
EXT_ART__39_DO_CDC,ExternalCitation,art. 39 do CDC,Unknown,,0.3869,,,,,,
EXT_RESP_925_523_MG,ExternalCitation,Resp 925.523/MG,Case,STJ,1.0,,,,,,
EXT_RESP_1_009_612_MG,ExternalCitation,REsp 1.009.612/MG,Case,STJ,1.0,,,,,,
EXT_RESP_976_722_MG,ExternalCitation,REsp 976.722/MG,Case,STJ,1.0,,,,,,
EXT_RESP_1_074_799_MG,ExternalCitation,REsp 1.074.799/MG,Case,STJ,0.9848,,,,,,
EXT_RESP_947_721_RS,ExternalCitation,REsp 947.721/RS,Case,STJ,0.9848,,,,,,
